"MLS #","Status","Address","City","Zip Code","Current Price","Year Built","Tax Assessed Value","Above Grade Finished SQFT","Status Contractual Search Date","Beds","Baths","Price/SqFt","RATIO Close Price By List Price"
"VALO386472","CLS","41098 Freshfields Ct","Aldie","20105","$800,000","2018","$667,110.00","3,388","07/22/19","4","4/1","$236.13","1.00001"
"VALO408886","CLS","41219 Chatham Green Cir","Aldie","20105","$1,129,900","2018","$1,003,470.00","5,352","05/29/20","5","5/1","$211.12","1.00000"
"VALO410996","CLS","40945 Franklina Place","Aldie","20105","$784,900","2020","$0.00","3,017","05/07/20","5","3/1","$260.16","0.86825"
"VALO384558","CLS","41175 Chatham Green Cir","Aldie","20105","$915,000","2018","$785,060.00","3,515","06/27/19","5","4/1","$260.31","1.02810"
"VALO352706","CLS","41047 Hickory Bluff Ct","Aldie","20105","$879,455","2019","$0.00","3,531","01/30/19","5","4/1","$249.07","1.03467"
"VALO382682","CLS","41209 Chatham Green Cir","Aldie","20105","$1,150,000","2019","$0.00","4,523","09/27/19","6","5/1","$254.26","0.95813"
"VALO413724","CLS","25621 Wyndham Point","Aldie","20105","$1,036,425","2020","$0.00","4,000","06/16/20","5","5/1","$259.11","1.00000"
"VALO411804","CLS","40950 Mountain Maple Pl","Aldie","20105","$812,231","0","$159,000.00","2,824","05/01/20","4","4/1","$287.62","1.00000"
"VALO410298","CLS","25233 Lotus Pond Pl","Aldie","20105","$1,157,585","2020","$1,157,585.00","3,800","04/23/20","5","5/10","$304.63","1.00000"
"VALO391540","CLS","23211 Lunar Harvest Ln","Aldie","20105","$1,174,044","2019","$309,000.00","4,500","07/23/19","5","5/1","$260.90","1.00000"
"VALO401828","CLS","40768 Maple Valley Court","Aldie","20105","$966,193","2020","$966,193.00","3,659","01/15/20","6","5","$264.06","1.00000"
"VALO384640","CLS","41099 Freshfields Ct","Aldie","20105","$762,589","2019","$256,500.00","0","05/10/19","4","4/1","","1.21046"
"VALO398742","CLS","23374 Bigbud Hickory Ln #HOMESITE 42","Aldie","20105","$977,970","2019","$0.00","4,323","01/06/20","6","6/1","$226.22","1.05159"
"VALO400658","CLS","25157 Lotus Pond Pl","Aldie","20105","$975,924","0","$287,600.00","0","12/31/19","5","4/1","","1.00000"
"VALO400666","CLS","40773 Maple Valley Ct","Aldie","20105","$1,120,735","2019","$289,600.00","5,083","12/31/19","5","4","$220.49","1.00000"
"VALO395948","CLS","23430 Shagbark Hickory Ln","Aldie","20105","$802,724","0","$293,000.00","0","09/30/19","4","3/1","","1.00000"
"VALO390944","CLS","23256 White Sycamore Pl","Aldie","20105","$996,984","2019","$307,500.00","0","07/19/19","5","4/1","","1.06068"
"1002605482","CLS","23546 Soft Elm Ln","Aldie","20105","$720,000","2018","$223,000.00","3,253","01/02/19","3","4/1","$221.33","0.92155"
"VALO401618","CLS","23348 Swamp Oak Ln","Aldie","20105","$889,444","2019","$889,444.00","3,869","01/21/20","6","5/0","$229.89","1.00000"
"VALO415374","CLS","40929 Franklinia Pl","Aldie","20105","$830,294","2020","$158,500.00","3,531","06/22/20","4","3/1","$235.14","1.00000"
"VALO411374","CLS","40963 Bruzzo Woods Ct","Aldie","20105","$944,735","2020","$260,000.00","3,536","05/20/20","5","4/1","$267.18","1.00038"
"VALO412246","CLS","23340 Swamp Oak Ln","Aldie","20105","$909,599","2020","$290,500.00","0","05/01/20","5","4/1","","1.00000"
"VALO400158","CLS","25212 Lotus Pond Pl","Aldie","20105","$990,650","2019","$287,600.00","0","12/18/19","5","3/1","","1.00000"
"VALO410320","CLS","40949 Franklinia Pl","Aldie","20105","$949,410","2019","$157,500.00","3,628","02/21/20","5","3/1","$261.69","1.15081"
"VALO386796","CLS","41003 Cutleaf Ln","Aldie","20105","$800,454","2019","$1.00","3,444","09/25/19","5","4/1","$232.42","1.00057"
"VALO388688","CLS","41008 River Cane Pl","Aldie","20105","$789,999","2019","$1.00","2,871","09/20/19","4","4/1","$275.17","1.00000"
"VALO388400","CLS","40982 White Clover Lane","Aldie","20105","$790,976","2019","$0.00","3,821","06/26/19","5","4/1","$207.01","100.00961"
"VALO387350","CLS","24383 Virginia Gold Ln","Aldie","20105","$885,000","2017","$773,560.00","3,566","10/30/19","5","4/1","$248.18","0.98443"
"VALO355862","CLS","25823 Yellow Birch Ct","Aldie","20105","$940,000","2016","$899,790.00","4,365","07/12/19","6","5/1","$215.35","0.96917"
"VALO385716","CLS","23588 Amesfield Pl","Aldie","20105","$1,031,000","2018","$987,660.00","4,210","06/11/19","6","5/1","$244.89","1.03101"
"VALO2001706","CLS","24553 Wateroak Pl","Aldie","20105","$973,670","2021","$0.00","3,839","03/05/21","4","4/1","$253.63","1.02721"
"VALO418208","CLS","41146 Chatham Green Cir","Aldie","20105","$915,300","2018","$798,230.00","3,208","09/16/20","4","4/1","$285.32","1.04130"
"VALO420020","CLS","25612 Wyndham Point Ct","Aldie","20105","$1,092,771","2020","$285,200.00","0","08/26/20","5","6/1","","1.00000"
"VALO408764","CLS","25188 Lotus Pond Pl","Aldie","20105","$1,233,000","2019","$288,200.00","4,771","06/23/20","6","6/1","$258.44","0.99516"
"VALO428154","CLS","25229 Lotus Pond Pl","Aldie","20105","$1,272,885","2019","$1,104,560.00","4,943","03/26/20","5","6/1","$257.51","1.00002"
"VALO2008986","CLS","41247 Chatham Green Cir","Aldie","20105","$1,499,000","2018","$925,360.00","4,263","11/24/21","6","6/1","$351.63","1.00000"
"VALO2000120","CLS","41189 Chatham Green Cir","Aldie","20105","$1,450,000","2018","$1,158,820.00","5,028","04/19/21","6","5/1","$288.39","1.07487"
"VALO433000","CLS","41234 Chatham Green Cir","Aldie","20105","$1,350,000","2018","$954,130.00","4,138","04/02/21","6","4/1","$326.24","1.08086"
"VALO418636","CLS","40943 Cutleaf Ln","Aldie","20105","$850,000","2019","$780,510.00","2,967","09/18/20","3","3/1","$286.48","0.97143"
"VALO396624","CLS","23394 Mockernut Ln","Aldie","20105","$896,368","2019","$292,500.00","0","08/29/19","6","5/1","","1.00000"
"VALO432556","CLS","24924 Virginia Juniper Ct","Aldie","20105","$901,469","2020","$521,150.00","3,173","03/04/21","4","4/1","$284.11","1.00000"
